,KMeans,Birch,MeanShift
AMI,0.008958361389417186,0.015653319702512464,0.028772795113635074
Completeness,0.013608270781154255,0.1383109036531778,0.07636856797419034
Homogeneity,0.014636651832611022,0.014069947346877115,0.036514802177038744
Rand,0.5658099016732793,0.6326260709562418,0.6061324823184406
V Measure,0.014038683128914275,0.024849559777019477,0.045855655978657615
