,KNN,RandomForest,SVC
Accuracy,0.766042780748663,0.7379679144385027,0.7740641711229946
F1,0.38525699652460216,0.35243178322446617,0.2481611525729173
Precision,0.5120846834647192,0.43031517094017097,0.6208333333333333
Recall,0.31068840579710144,0.30178140096618356,0.16719504830917875
