,KMeans,Birch,MeanShift
AMI,0.18292291438629432,0.16130260455360265,0.09419038396294022
Completeness,0.22035980629329885,0.2489837981703856,0.36994998674442653
Homogeneity,0.2011226619490777,0.17580792556662345,0.13743496614102918
Rand,0.60608159858095,0.5999220036528963,0.5943424341213476
V Measure,0.19995224976397452,0.18070106556050988,0.1274674161263868
