,KNN,RandomForest,SVC
Accuracy,0.8476924683284752,0.8769561148948539,0.8784487842592424
F1,0.8437589835094528,0.8688972623346205,0.8532789173390656
Precision,0.8365262328155352,0.8754048678140988,0.8576499739327662
Recall,0.8665251081844141,0.8758839966143848,0.8753697120268012
